scenario,method,metric,mean,std,n_total,n_valid,evidence_level,source_quality_note,suitable_for_main_text,suitable_for_supplement,metric_available,metric_group,preferred_axis_label,interpretation_direction
standard_moderate,baseline_rl,selection_score,0.3628068070747574,0.08346482934925356,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,performance,Selection score,higher_is_better
standard_moderate,baseline_rl,safety_capacity_index,0.7547404976189137,0.01193296940279924,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,performance,Safety capacity index,higher_is_better
standard_moderate,baseline_rl,min_recovery_ratio,0.5728520866897371,0.018601335799963394,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,recovery,Minimum recovery ratio,higher_is_better
standard_moderate,baseline_rl,critical_load_recovery_ratio,0.7728350493643019,0.046627227170846754,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,recovery,Critical-load recovery ratio,higher_is_better
standard_moderate,baseline_rl,communication_recovery_ratio,0.6447337170441946,0.06169167681559844,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,recovery,Communication recovery ratio,higher_is_better
standard_moderate,baseline_rl,power_recovery_ratio,0.7632449633545346,0.04340415629620939,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,recovery,Power recovery ratio,higher_is_better
standard_moderate,baseline_rl,road_recovery_ratio,0.5728520866897371,0.018601335799963394,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,recovery,Road recovery ratio,higher_is_better
standard_moderate,baseline_rl,constraint_violation_rate_eval,0.05416666666666667,0.07660323462854265,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,safety,Constraint violation rate,lower_is_better
standard_moderate,baseline_rl,invalid_action_rate_eval,0.05416666666666667,0.07660323462854265,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,safety,Invalid action rate,lower_is_better
standard_moderate,baseline_rl,wait_hold_usage_eval,0.23295454545454544,0.0754773858984468,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,process,Wait-hold usage,lower_is_better
standard_moderate,baseline_rl,mean_progress_delta_eval,0.0015766458654845202,0.0004318320170877532,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,process,Mean progress delta,higher_is_better
standard_moderate,baseline_rl,eval_success_rate,0.1111111111111111,0.15713484026367722,3,3,per_seed_n3,Complete 3-seed per-seed evidence.,True,True,True,process,Evaluation success rate,higher_is_better
