scenario,method,seed,validation_status,fallback_used,fallback_reason,rejection_reason,constraint_violation_not_allowed,invalid_action_not_allowed,critical_recovery_too_low_vs_reference,generated_not_competitive_vs_baseline_tolerance,multi_layer_recovery_regression,no_final_progress_and_not_late_stage,progress_delta_too_low_vs_reference,resource_sustainability_collapse,wait_hold_overuse_with_low_progress,not_finish_oriented_under_zero_success,generated_candidates_inferred,accepted_selected_candidate_inferred,rejected_candidate_signal_inferred,fallback_selected_inferred
standard_moderate,baseline_rl,42,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standard_moderate,baseline_rl,43,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standard_moderate,baseline_rl,44,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standard_moderate,single_shot_llm,42,valid,False,,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse,1,1,0,0,0,0,0,1,0,0,1,1,1,0
standard_moderate,single_shot_llm,43,valid,False,,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse,1,1,0,0,0,0,0,1,0,0,1,1,1,0
standard_moderate,single_shot_llm,44,valid,False,,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse,1,1,0,0,0,0,0,1,0,0,1,1,1,0
standard_moderate,full_outer_loop,42,valid,False,,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse,1,1,1,1,1,1,1,1,0,1,1,1,1,0
standard_moderate,full_outer_loop,43,valid,False,,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse,1,1,1,1,1,1,1,1,0,1,1,1,1,0
standard_moderate,full_outer_loop,44,valid,False,,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse,1,1,1,1,1,1,1,1,0,1,1,1,1,0
resource_moderate,baseline_rl,42,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resource_moderate,baseline_rl,43,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resource_moderate,baseline_rl,44,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resource_moderate,single_shot_llm,42,valid,True,,constraint_violation_not_allowed|invalid_action_not_allowed|no_final_progress_and_not_late_stage|resource_sustainability_collapse,1,1,0,0,0,1,0,1,0,0,1,1,1,1
resource_moderate,single_shot_llm,43,valid,True,,constraint_violation_not_allowed|invalid_action_not_allowed|no_final_progress_and_not_late_stage|resource_sustainability_collapse,1,1,0,0,0,1,0,1,0,0,1,1,1,1
resource_moderate,single_shot_llm,44,valid,False,,constraint_violation_not_allowed|invalid_action_not_allowed|resource_sustainability_collapse,1,1,0,0,0,0,0,1,0,0,1,1,1,0
resource_moderate,full_outer_loop,42,valid,False,,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse,1,1,1,1,1,1,1,1,0,1,1,1,1,0
resource_moderate,full_outer_loop,43,valid,False,,constraint_violation_not_allowed|critical_recovery_too_low_vs_reference|generated_not_competitive_vs_baseline_tolerance|invalid_action_not_allowed|multi_layer_recovery_regression|no_final_progress_and_not_late_stage|not_finish_oriented_under_zero_success|progress_delta_too_low_vs_reference|resource_sustainability_collapse|wait_hold_overuse_with_low_progress,1,1,1,1,1,1,1,1,1,1,1,1,1,0
