scenario,method,metric,mean,std,n_total,n_valid,evidence_level,source_quality_note,suitable_for_main_text,suitable_for_supplement,metric_available,metric_group,preferred_axis_label,interpretation_direction
standard_moderate,baseline_rl,selection_score,0.4106497732987551,0.010504362433620401,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,performance,selection_score,higher_is_better
standard_moderate,baseline_rl,safety_capacity_index,0.7535997437430711,0.004868124882730094,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,performance,safety_capacity_index,higher_is_better
standard_moderate,baseline_rl,min_recovery_ratio,0.6225333246919844,0.00783787146421062,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,min_recovery_ratio,higher_is_better
standard_moderate,baseline_rl,critical_load_recovery_ratio,0.8488253951072693,0.010439746206807113,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,critical_load_recovery_ratio,higher_is_better
standard_moderate,baseline_rl,communication_recovery_ratio,0.6675810615221659,0.008622711345247782,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,communication_recovery_ratio,higher_is_better
standard_moderate,baseline_rl,power_recovery_ratio,0.8787517613834805,0.007642523462692259,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,power_recovery_ratio,higher_is_better
standard_moderate,baseline_rl,road_recovery_ratio,0.6225333246919844,0.00783787146421062,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,road_recovery_ratio,higher_is_better
standard_moderate,baseline_rl,constraint_violation_rate_eval,0.20458602728889186,0.012341518434022236,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,safety,constraint_violation_rate_eval,lower_is_better
standard_moderate,baseline_rl,invalid_action_rate_eval,0.20458602728889186,0.012341518434022236,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,safety,invalid_action_rate_eval,lower_is_better
standard_moderate,baseline_rl,wait_hold_usage_eval,0.18084299090986386,0.012247255734805241,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,process,wait_hold_usage_eval,lower_is_better
standard_moderate,baseline_rl,mean_progress_delta_eval,0.0041790245605219075,0.0016690117787254764,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,process,mean_progress_delta_eval,higher_is_better
standard_moderate,baseline_rl,eval_success_rate,0.3333333333333333,0.0,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,process,eval_success_rate,higher_is_better
standard_moderate,single_shot_llm,selection_score,0.39716373412314887,0.02188484036387283,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,performance,selection_score,higher_is_better
standard_moderate,single_shot_llm,safety_capacity_index,0.7447559672105601,0.015843855374582175,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,performance,safety_capacity_index,higher_is_better
standard_moderate,single_shot_llm,min_recovery_ratio,0.6417174504862891,0.03249999559481115,3,3,per_seed_n3,valid means exclude sentinel runs,True,True,True,recovery,min_recovery_ratio,higher_is_better
